DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,55406-53-6,C8H12INO2,280.991270,317,790,40.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027983,Dipropylene glycol monomethyl ether,34590-94-8,C7H16O3,148.109944,12,621,2.0,Inactive,1.4810495374492279e-9,6.649370339288412E-11,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029214,Methylionone,1335-46-2,, ,23,355,6.0,Inactive,7.5200740671788155,0.33762380114355206,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029559,Diazolidinyl urea,78491-02-8,C8H14N4O7,278.086249,3,349,1.0,Inactive,3.9926253362575728,0.1792542640574076,0.000263353122337919,-3.579461528242174
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0032497,Triclopyr,55335-06-3,C7H4Cl3NO3,254.925676,20,644,3.0,Inactive,8.430303960952156,0.37848979181131914,5.0911499080664555,0.7068158849547519
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0032601,Cyproconazole,94361-06-5,C15H18ClN3O,291.113840,99,705,14.0,Inactive,4.096350668349226,0.18391115181979092,34.8676663725072,1.5424228818337513
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0032572,Prallethrin,23031-36-9,C19H24O3,300.172545,210,782,27.0,Inactive,1.40054816096672e-10,6.287948623458041E-12,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034223,Tebufenpyrad,119168-77-3,C18H24ClN3O,333.160790,302,667,45.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034227,Icaridin,119515-38-7,C12H23NO3,229.167794,11,663,2.0,Inactive,6.728892487477942,0.30210264404495174,0.00020001563664793506,-3.6989360511137197
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034518,Desmedipham,13684-56-5,C16H16N2O4,300.111007,31,369,8.0,Inactive,12.574360311465128,0.5645427541511111,56.56837282969584,1.7525736865847137
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034855,Fuazifop-P-butyl,79241-46-6,C19H20F3NO4,383.134443,31,664,5.0,Inactive,6.451360882508158,0.2896424907844505,17.390055904274835,1.2403009781429684
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0035160,alpha-Ionone,127-41-3,C13H20O,192.151415,7,352,2.0,Inactive,2.9605066218999574,0.13291591147472576,19.84277616475373,1.2976024333770189
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034930,Fosthiazate,98886-44-3,C9H18NO3PS2,283.046573,32,683,5.0,Inactive,3.5127897652088764,0.15771140317942636,0.0002327346764725413,-3.6331389038697037
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0034803,Penoxsulam,219714-96-2,C16H14F5N5O5S,483.063581,42,669,6.0,Active,97.10883503205606,4.359831261667984,11.565516626367423,1.0631650372769188
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0037495,Deisopropylatrazine,1007-28-9,C5H8ClN5,173.046823,24,716,3.0,Inactive,2.6309540006900534,0.11812020498889185,11.241705495063101,1.050832203662458
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",31519-22-9,C11H8O4,204.042259,148,381,39.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0038700,2-Methoxy-4-nitroaniline,97-52-9,C7H8N2O3,168.053492,32,369,9.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0038881,C.I. Acid Orange 7,633-96-5,C16H11N2NaO4S,350.033722,78,361,22.0,Inactive
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0038887,Fluorescein,2321-07-5,C20H12O5,332.068473,75,489,15.0,Inactive,4.6908685497891,0.21060282868180405,0.00023168553903089487,-3.635101072446876
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041274,"1-Phenyl-1H-pyrrole-2,5-dione",941-69-5,C10H7NO2,173.047678,151,369,41.0,Inactive,3.8867345257593877,0.1745001542405104,0.10531434263203199,-0.9775124787501898
